,Date,High,Low,Open,Close,Volume,Adj Close,H-L,O-C,5MA,10MA,20MA,7SD,EMA8,EMA21,EMA34,EMA55,RSI_14,Sentiment
19,2021-08-27,148.75,146.8300018310547,147.47999572753906,153.1199951171875,55802400.0,147.9772186279297,1.9199981689453125,-1.1200103759765625,148.14252014160155,148.01605377197265,147.0850700378418,1.0693456357370021,147.76484221099398,147.49276779208864,147.3582273822491,147.2610332870238,55.06066255775848,0.2479329985475892
20,2021-08-30,153.49000549316406,148.61000061035156,149.0,151.8300018310547,90956700.0,152.47825622558594,4.8800048828125,-4.1199951171875,148.8216552734375,148.21521453857423,147.47431564331055,1.8436304874427711,148.817641722726,148.01680784483386,147.7706771978857,147.60991879620215,68.12437051900459,0.2840575511966433
21,2021-08-31,152.8000030517578,151.2899932861328,152.66000366210938,152.50999450683594,86453100.0,151.1936798095703,1.510009765625,0.8300018310546875,149.26180419921874,148.37852630615234,147.70785598754884,1.9833144809982644,149.34775488676271,148.34606192512967,148.04011273903473,147.8423302526313,62.536951296675724,0.32321419096128506
22,2021-09-01,154.97999572753906,152.33999633789062,152.8300018310547,153.64999389648438,80313700.0,151.87081909179688,2.6399993896484375,0.32000732421875,150.08832702636718,148.99094848632814,147.99563598632812,2.2219515949306445,149.9101725666566,148.70677856460955,148.33527323491086,148.09618627462186,64.20362019413834,0.29730720094715557
23,2021-09-02,154.72000122070312,152.39999389648438,153.8699951171875,154.3000030517578,71115500.0,153.00604248046875,2.32000732421875,0.220001220703125,151.30520324707032,149.68303375244142,148.33470916748047,2.535925483890263,150.59979999009812,149.14178503034384,148.6881366555554,148.3973595310983,66.8650646608849,0.2207140436029842
24,2021-09-03,154.6300048828125,153.08999633789062,153.75999450683594,156.69000244140625,57808700.0,153.65333557128906,1.540008544921875,-0.540008544921875,152.4404266357422,150.29147338867188,148.74100036621093,2.575981068656549,151.27963341473563,149.5936294173291,149.0564645818024,148.71170838170298,68.31175641897546,0.19120595027648268
25,2021-09-07,157.25999450683594,154.38999938964844,154.97000122070312,155.11000061035156,82278300.0,156.0333251953125,2.8699951171875,-1.720001220703125,153.1514404296875,150.9865478515625,149.26878051757814,2.46279892011634,152.33754643636962,150.2326757807785,149.56535047749944,149.13929670879892,72.98261016519362,0.24430318953687544
26,2021-09-08,157.0399932861328,153.97999572753906,156.97999572753906,154.07000732421875,74420200.0,154.45993041992188,3.05999755859375,1.8699951171875,153.8046905517578,151.5332473754883,149.74228744506837,1.6410759031782207,152.8097209044078,150.64870543581006,149.91680504672368,149.44313302003297,66.05117547397487,0.31187923178076743
27,2021-09-09,156.11000061035156,153.9499969482422,155.49000549316406,148.97000122070312,57305700.0,153.42430114746094,2.160003662109375,1.4199981689453125,154.11538696289062,152.10185699462892,150.15106735229492,1.6062625979525544,152.94641443595572,150.91983322793433,150.1650209323417,149.66571746173847,61.88491721867483,0.29106601592943526
28,2021-09-10,155.47999572753906,148.6999969482422,155.0,149.5500030517578,140893200.0,148.3456573486328,6.779998779296875,6.029998779296875,153.18330993652344,152.24425659179687,150.15504989624023,2.4107824444997767,151.92332457445795,150.67007246832165,150.0380001404146,149.59337474981328,46.421388472254456,0.18843318424373864
29,2021-09-13,151.4199981689453,148.75,150.6300048828125,148.1199951171875,102404300.0,148.92323303222656,2.6699981689453125,1.0800018310546875,152.23728942871094,152.33885803222657,150.1774559020996,2.8519305895989144,151.2562828996215,150.50161481904982,149.9611454906341,149.557337145372,48.01237720144117,0.19760944724119114
